date,PSQ,QQQ,SHV,TLT,GLD
2020-01-02,0.2,0.5,0.3,0.001,0.0
2020-01-03,0.2,0.5,0.3,0.001,0.0
2020-01-06,0.2,0.5,0.3,0.001,0.0
2020-01-07,0.2,0.5,0.3,0.001,0.0
2020-01-08,0.2,0.5,0.3,0.001,0.0
2020-01-09,0.2,0.5,0.3,0.001,0.0
2020-01-10,0.2,0.5,0.3,0.001,0.0
2020-01-13,0.2,0.5,0.3,0.001,0.0
2020-01-14,0.2,0.5,0.3,0.001,0.0
2020-01-15,0.2,0.5,0.3,0.001,0.0
2020-01-16,0.3,0.4,0.301,0.0,0.0
2020-01-17,0.3,0.4,0.3,0.001,0.0
2020-01-21,0.3,0.4,0.3,0.001,0.0
2020-01-22,0.3,0.4,0.3,0.001,0.0
2020-01-23,0.3,0.4,0.3,0.001,0.0
2020-01-24,0.3,0.4,0.301,0.0,0.0
2020-01-27,0.3,0.4,0.301,0.0,0.0
2020-01-28,0.3,0.4,0.301,0.0,0.0
2020-01-29,0.3,0.4,0.301,0.0,0.0
2020-01-30,0.2,0.5,0.301,0.0,0.0
2020-01-31,0.3,0.3,0.401,0.0,0.0
2020-02-03,0.2,0.4,0.401,0.0,0.0
2020-02-04,0.2,0.4,0.401,0.0,0.0
2020-02-05,0.2,0.4,0.401,0.0,0.0
2020-02-06,0.2,0.5,0.301,0.0,0.0
2020-02-07,0.2,0.5,0.301,0.0,0.0
2020-02-10,0.3,0.4,0.301,0.0,0.0
2020-02-11,0.2,0.5,0.301,0.0,0.0
2020-02-12,0.3,0.4,0.301,0.0,0.0
2020-02-13,0.3,0.4,0.301,0.0,0.0
2020-02-14,0.3,0.4,0.301,0.0,0.0
2020-02-18,0.3,0.4,0.301,0.0,0.0
2020-02-19,0.2,0.5,0.301,0.0,0.0
2020-02-20,0.2,0.5,0.301,0.0,0.0
2020-02-21,0.2,0.5,0.301,0.0,0.0
2020-02-24,0.3,0.3,0.401,0.0,0.0
2020-02-25,0.0,0.3,0.699,0.0,0.001
2020-02-26,0.0,0.3,0.699,0.0,0.001
2020-02-27,0.0,0.3,0.699,0.0,0.001
2020-02-28,0.0,0.3,0.699,0.0,0.001
2020-03-02,0.3,0.3,0.401,0.0,0.0
2020-03-03,0.3,0.3,0.401,0.0,0.0
2020-03-04,0.3,0.3,0.401,0.0,0.0
2020-03-05,0.3,0.3,0.401,0.0,0.0
2020-03-06,0.3,0.3,0.401,0.0,0.0
2020-03-09,0.0,0.3,0.699,0.0,0.001
2020-03-10,0.3,0.3,0.401,0.0,0.0
2020-03-11,0.3,0.1,0.6,0.0,0.0
2020-03-12,0.0,0.1,0.899,0.0,0.001
2020-03-13,0.3,0.1,0.6,0.0,0.0
2020-03-16,0.0,0.2,0.799,0.0,0.001
2020-03-17,0.3,0.1,0.6,0.0,0.0
2020-03-18,0.3,0.1,0.6,0.0,0.0
2020-03-19,0.3,0.1,0.6,0.0,0.0
